environment,rep,variety,varietyname,plantnum,yield
Chokwe,1,5,IT-18,81,2960
Chokwe,1,1,UC-CB46,89,3022.2
Chokwe,1,2,IT69KD-901,11,524.4
Chokwe,1,12,INIA-152,100,4426.7
Chokwe,1,3,INIA-73,89,2648.9
Chokwe,1,4,UC-CB27,102,2302.2
Chokwe,1,8,INIA-41,88,2586.7
Chokwe,1,6,IT98K-1105-5,83,3084.4
Chokwe,1,10,IT-16,87,2915.6
Chokwe,1,7,IT00K-96,116,3644.4
Chokwe,1,11,IT98K-1111-1,60,2524.4
Chokwe,1,9,IT97K-284-4,81,2915.6
Chokwe,2,6,IT98K-1105-5,90,3075.6
Chokwe,2,4,UC-CB27,86,2435.6
Chokwe,2,8,INIA-41,64,2942.2
Chokwe,2,9,IT97K-284-4,88,3093.3
Chokwe,2,7,IT00K-96,110,2844.4
Chokwe,2,5,IT-18,88,3520
Chokwe,2,10,IT-16,101,2791.1
Chokwe,2,11,IT98K-1111-1,58,2142.2
Chokwe,2,1,UC-CB46,87,4168.9
Chokwe,2,12,INIA-152,83,3528.9
Chokwe,2,3,INIA-73,72,2906.7
Chokwe,2,2,IT69KD-901,11,408.9
Chokwe,3,6,IT98K-1105-5,110,3742.2
Chokwe,3,1,UC-CB46,103,3688.9
Chokwe,3,7,IT00K-96,113,3955.6
Chokwe,3,8,INIA-41,81,1804.4
Chokwe,3,11,IT98K-1111-1,64,2106.7
Chokwe,3,10,IT-16,115,3413.3
Chokwe,3,3,INIA-73,69,2720
Chokwe,3,4,UC-CB27,86,2728.9
Chokwe,3,9,IT97K-284-4,74,2506.7
Chokwe,3,5,IT-18,84,3084.4
Chokwe,3,2,IT69KD-901,76,533.3
Chokwe,3,12,INIA-152,104,3200
Chokwe,4,1,UC-CB46,104,3644.4
Chokwe,4,3,INIA-73,76,2133.3
Chokwe,4,6,IT98K-1105-5,92,3528.9
Chokwe,4,5,IT-18,95,3253.3
Chokwe,4,12,INIA-152,110,2506.7
Chokwe,4,11,IT98K-1111-1,59,2124.4
Chokwe,4,4,UC-CB27,89,2373.3
Chokwe,4,8,INIA-41,53,1591.1
Chokwe,4,7,IT00K-96,91,2977.8
Chokwe,4,10,IT-16,96,1751.1
Chokwe,4,2,IT69KD-901,6,78.2
Chokwe,4,9,IT97K-284-4,102,2924.4
Umbeluzi,1,5,IT-18,42,1573.3
Umbeluzi,1,4,UC-CB27,45,888.9
Umbeluzi,1,9,IT97K-284-4,25,702.2
Umbeluzi,1,8,INIA-41,54,1760
Umbeluzi,1,12,INIA-152,53,2302.2
Umbeluzi,1,7,IT00K-96,15,631.1
Umbeluzi,1,11,IT98K-1111-1,53,1475.6
Umbeluzi,1,10,IT-16,51,1795.6
Umbeluzi,1,1,UC-CB46,50,1653.3
Umbeluzi,1,2,IT69KD-901,17,488.9
Umbeluzi,1,6,IT98K-1105-5,58,2177.8
Umbeluzi,1,3,INIA-73,46,1155.6
Umbeluzi,2,6,IT98K-1105-5,65,2373.3
Umbeluzi,2,10,IT-16,54,1191.1
Umbeluzi,2,1,UC-CB46,59,2062.2
Umbeluzi,2,9,IT97K-284-4,31,960
Umbeluzi,2,2,IT69KD-901,14,337.8
Umbeluzi,2,11,IT98K-1111-1,50,1777.8
Umbeluzi,2,7,IT00K-96,18,1040
Umbeluzi,2,4,UC-CB27,49,1386.7
Umbeluzi,2,3,INIA-73,38,1404.4
Umbeluzi,2,5,IT-18,48,1742.2
Umbeluzi,2,8,INIA-41,51,2328.9
Umbeluzi,2,12,INIA-152,61,2906.7
Umbeluzi,3,6,IT98K-1105-5,67,2568.9
Umbeluzi,3,11,IT98K-1111-1,38,1235.6
Umbeluzi,3,4,UC-CB27,51,1680
Umbeluzi,3,7,IT00K-96,22,666.7
Umbeluzi,3,1,UC-CB46,39,1475.6
Umbeluzi,3,12,INIA-152,67,2266.7
Umbeluzi,3,5,IT-18,44,1377.8
Umbeluzi,3,8,INIA-41,49,1528.9
Umbeluzi,3,2,IT69KD-901,20,1075.6
Umbeluzi,3,10,IT-16,62,1688.9
